RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,PRICE
6.575,65.2,4.09,1.0,296.0,15.3,4.98,24.0
6.421,78.9,4.9671,2.0,242.0,17.8,9.14,21.6
7.185,61.1,4.9671,2.0,242.0,17.8,4.03,34.7
6.998,45.8,6.0622,3.0,222.0,18.7,2.94,33.4
7.147,54.2,6.0622,3.0,222.0,18.7,5.33,36.2
6.43,58.7,6.0622,3.0,222.0,18.7,5.21,28.7
6.012,66.6,5.5605,5.0,311.0,15.2,12.43,22.9
6.172,96.1,5.9505,5.0,311.0,15.2,19.15,27.1
5.631,100.0,6.0821,5.0,311.0,15.2,29.93,16.5
6.004,85.9,6.5921,5.0,311.0,15.2,17.1,18.9
6.377,94.3,6.3467,5.0,311.0,15.2,20.45,15.0
6.009,82.9,6.2267,5.0,311.0,15.2,13.27,18.9
5.889,39.0,5.4509,5.0,311.0,15.2,15.71,21.7
5.949,61.8,4.7075,4.0,307.0,21.0,8.26,20.4
6.096,84.5,4.4619,4.0,307.0,21.0,10.26,18.2
5.834,56.5,4.4986,4.0,307.0,21.0,8.47,19.9
5.935,29.3,4.4986,4.0,307.0,21.0,6.58,23.1
5.99,81.7,4.2579,4.0,307.0,21.0,14.67,17.5
5.456,36.6,3.7965,4.0,307.0,21.0,11.69,20.2
5.727,69.5,3.7965,4.0,307.0,21.0,11.28,18.2
5.57,98.1,3.7979,4.0,307.0,21.0,21.02,13.6
5.965,89.2,4.0123,4.0,307.0,21.0,13.83,19.6
6.142,91.7,3.9769,4.0,307.0,21.0,18.72,15.2
5.813,100.0,4.0952,4.0,307.0,21.0,19.88,14.5
5.924,94.1,4.3996,4.0,307.0,21.0,16.3,15.6
5.599,85.7,4.4546,4.0,307.0,21.0,16.51,13.9
5.813,90.3,4.682,4.0,307.0,21.0,14.81,16.6
6.047,88.8,4.4534,4.0,307.0,21.0,17.28,14.8
6.495,94.4,4.4547,4.0,307.0,21.0,12.8,18.4
6.674,87.3,4.239,4.0,307.0,21.0,11.98,21.0
5.713,94.1,4.233,4.0,307.0,21.0,22.6,12.7
6.072,100.0,4.175,4.0,307.0,21.0,13.04,14.5
5.95,82.0,3.99,4.0,307.0,21.0,27.71,13.2
5.701,95.0,3.7872,4.0,307.0,21.0,18.35,13.1
6.096,96.9,3.7598,4.0,307.0,21.0,20.34,13.5
5.933,68.2,3.3603,5.0,279.0,19.2,9.68,18.9
5.841,61.4,3.3779,5.0,279.0,19.2,11.41,20.0
5.85,41.5,3.9342,5.0,279.0,19.2,8.77,21.0
5.966,30.2,3.8473,5.0,279.0,19.2,10.13,24.7
6.595,21.8,5.4011,3.0,252.0,18.3,4.32,30.8
7.024,15.8,5.4011,3.0,252.0,18.3,1.98,34.9
6.77,2.9,5.7209,3.0,233.0,17.9,4.84,26.6
6.169,6.6,5.7209,3.0,233.0,17.9,5.81,25.3
6.211,6.5,5.7209,3.0,233.0,17.9,7.44,24.7
6.069,40.0,5.7209,3.0,233.0,17.9,9.55,21.2
5.682,33.8,5.1004,3.0,233.0,17.9,10.21,19.3
5.786,33.3,5.1004,3.0,233.0,17.9,14.15,20.0
6.03,85.5,5.6894,3.0,233.0,17.9,18.8,16.6
5.399,95.3,5.87,3.0,233.0,17.9,30.81,14.4
5.602,62.0,6.0877,3.0,233.0,17.9,16.2,19.4
5.963,45.7,6.8147,4.0,243.0,16.8,13.45,19.7
6.115,63.0,6.8147,4.0,243.0,16.8,9.43,20.5
6.511,21.1,6.8147,4.0,243.0,16.8,5.28,25.0
5.998,21.4,6.8147,4.0,243.0,16.8,8.43,23.4
5.888,47.6,7.3197,3.0,469.0,21.1,14.8,18.9
7.249,21.9,8.6966,5.0,226.0,17.9,4.81,35.4
6.383,35.7,9.1876,2.0,313.0,17.3,5.77,24.7
6.816,40.5,8.3248,5.0,256.0,15.1,3.95,31.6
6.145,29.2,7.8148,8.0,284.0,19.7,6.86,23.3
5.927,47.2,6.932,8.0,284.0,19.7,9.22,19.6
5.741,66.2,7.2254,8.0,284.0,19.7,13.15,18.7
5.966,93.4,6.8185,8.0,284.0,19.7,14.44,16.0
6.456,67.8,7.2255,8.0,284.0,19.7,6.73,22.2
6.762,43.4,7.9809,8.0,284.0,19.7,9.5,25.0
7.104,59.5,9.2229,3.0,216.0,18.6,8.05,33.0
6.29,17.8,6.6115,4.0,337.0,16.1,4.67,23.5
5.787,31.1,6.6115,4.0,337.0,16.1,10.24,19.4
5.878,21.4,6.498,4.0,345.0,18.9,8.1,22.0
5.594,36.8,6.498,4.0,345.0,18.9,13.09,17.4
5.885,33.0,6.498,4.0,345.0,18.9,8.79,20.9
6.417,6.6,5.2873,4.0,305.0,19.2,6.72,24.2
5.961,17.5,5.2873,4.0,305.0,19.2,9.88,21.7
6.065,7.8,5.2873,4.0,305.0,19.2,5.52,22.8
